reflection_id,person_id,workshop_id,timestamp,department_id,role,reflection_text,sentiment,theme
72f26c48-ecaf-4380-9d48-ccb532093859,P_0061,,2023-08-17T00:00:00,DEPT_009,staff,This is a synthetic reflection text about AI adoption.,positive,support
eb450f12-bb4d-462d-b307-e3ada51397dd,P_0037,,2023-11-06T00:00:00,DEPT_006,faculty,This is a synthetic reflection text about AI adoption.,mixed,tools
3055e2b2-f968-4602-b361-97e905e88b21,P_0111,,2023-06-18T00:00:00,DEPT_007,faculty,This is a synthetic reflection text about AI adoption.,negative,support
b8f4a4d2-88cd-436b-81f2-6a53da5d9259,P_0044,,2023-08-24T00:00:00,DEPT_008,staff,This is a synthetic reflection text about AI adoption.,positive,confidence
a37f3857-90f5-48e1-b626-5d106f66c0ea,P_0109,,2023-02-16T00:00:00,DEPT_003,staff,This is a synthetic reflection text about AI adoption.,positive,support
06e9cdd2-d2db-46f5-a3af-ec7328e9ca80,P_0153,,2023-06-27T00:00:00,DEPT_006,staff,This is a synthetic reflection text about AI adoption.,mixed,policy
8146f69f-1951-455a-b0cd-6cb0ca0dd6ab,P_0136,,2023-07-20T00:00:00,DEPT_004,staff,This is a synthetic reflection text about AI adoption.,mixed,time
962309f9-c1bb-4099-b562-165c545caea5,P_0099,,2023-08-01T00:00:00,DEPT_002,faculty,This is a synthetic reflection text about AI adoption.,positive,tools
7e814b2d-0758-4e7a-84ef-709c587eae0a,P_0175,,2023-08-10T00:00:00,DEPT_001,faculty,This is a synthetic reflection text about AI adoption.,positive,time
6d678845-8691-4262-b762-1d558ed4ccdf,P_0104,,2023-12-24T00:00:00,DEPT_004,grad_student,This is a synthetic reflection text about AI adoption.,positive,support
edfec794-95ee-4655-a51f-411ae8e9c594,P_0111,,2023-12-24T00:00:00,DEPT_007,faculty,This is a synthetic reflection text about AI adoption.,negative,time
f874e76b-1b68-4b78-a8d3-377e439e4055,P_0141,,2023-03-22T00:00:00,DEPT_008,staff,This is a synthetic reflection text about AI adoption.,positive,tools
7a6a0eeb-4a62-439a-99a1-ede18d9907cd,P_0134,,2023-05-30T00:00:00,DEPT_002,staff,This is a synthetic reflection text about AI adoption.,mixed,confidence
d668de9b-17e1-4777-b9b5-e67e27d77fea,P_0006,,2023-12-24T00:00:00,DEPT_009,staff,This is a synthetic reflection text about AI adoption.,mixed,time
3befab30-eb72-441e-9299-1bcae2680ce9,P_0144,,2023-09-10T00:00:00,DEPT_005,staff,This is a synthetic reflection text about AI adoption.,positive,tools
255d50fb-33b3-4242-bcbb-5b908462d011,P_0199,,2023-03-04T00:00:00,DEPT_007,grad_student,This is a synthetic reflection text about AI adoption.,negative,confidence
578037db-fcb1-4616-bcb7-9c43476b856d,P_0094,,2023-02-23T00:00:00,DEPT_004,faculty,This is a synthetic reflection text about AI adoption.,positive,policy
4041b7ce-ac96-4108-97b2-f626d42df46d,P_0049,,2023-07-29T00:00:00,DEPT_008,faculty,This is a synthetic reflection text about AI adoption.,positive,policy
d1434d07-2290-499e-81ea-ed4c137dc19c,P_0095,,2023-04-17T00:00:00,DEPT_006,staff,This is a synthetic reflection text about AI adoption.,positive,support
