survey_id,participant_id,workshop_id,date,confidence_score,understanding_responsible_ai,comfort_with_tools
S0001,P124,W045,2024-01-13,3,3,2
S0002,P111,W038,2024-07-15,3,1,2
S0003,P081,W014,2024-08-23,3,2,3
S0004,P132,W029,2024-02-17,4,3,1
S0005,P133,W042,2024-07-23,2,3,2
S0006,P248,W023,2023-08-23,2,2,4
S0007,P243,W028,2023-07-15,4,1,4
S0008,P086,W044,2024-06-15,1,3,3
S0009,P260,W048,2023-12-16,2,4,4
S0010,P155,W019,2023-12-15,2,3,3
S0011,P093,W031,2023-08-22,2,2,4
S0012,P276,W003,2024-09-12,3,4,3
S0013,P059,W035,2023-12-02,2,2,3
S0014,P089,W009,2024-03-23,1,2,2
S0015,P287,W017,2023-08-09,2,1,1
S0016,P319,W004,2024-07-30,4,4,3
S0017,P215,W042,2024-07-23,2,3,1
S0018,P091,W053,2023-11-13,4,3,3
S0019,P094,W006,2023-07-17,2,3,3
S0020,P140,W014,2024-08-23,4,2,2
S0021,P309,W005,2023-09-13,2,2,2
S0022,P296,W007,2024-09-06,3,1,1
S0023,P245,W009,2024-03-23,2,2,3
S0024,P096,W006,2023-07-17,3,2,4
S0025,P074,W012,2023-10-23,2,5,2
S0026,P251,W029,2024-02-17,5,3,3
S0027,P019,W049,2024-04-26,2,3,3
S0028,P147,W013,2024-04-21,4,3,3
S0029,P012,W043,2023-08-03,1,2,3
S0030,P162,W041,2024-04-06,2,3,5
S0031,P189,W045,2024-01-13,4,2,2
S0032,P178,W004,2024-07-30,2,3,4
S0033,P060,W026,2023-10-05,1,4,2
S0034,P302,W023,2023-08-23,3,3,4
S0035,P185,W057,2023-12-28,2,3,3
S0036,P232,W012,2023-10-23,2,3,3
S0037,P013,W036,2024-04-17,5,3,3
S0038,P028,W031,2023-08-22,3,3,3
S0039,P247,W004,2024-07-30,2,3,3
S0040,P320,W019,2023-12-15,2,3,3
S0041,P030,W050,2024-05-18,3,2,3
S0042,P164,W002,2024-03-04,2,3,3
S0043,P123,W021,2024-01-09,2,3,2
S0044,P318,W043,2023-08-03,1,1,3
S0045,P165,W014,2024-08-23,3,3,3
S0046,P224,W022,2023-12-06,2,4,3
S0047,P213,W017,2023-08-09,2,2,3
S0048,P112,W035,2023-12-02,3,4,3
S0049,P121,W007,2024-09-06,2,3,2
S0050,P219,W022,2023-12-06,3,4,2
S0051,P317,W017,2023-08-09,2,4,3
S0052,P274,W060,2024-09-17,3,1,2
S0053,P306,W030,2024-06-16,1,2,3
S0054,P258,W058,2023-10-27,1,2,4
S0055,P163,W054,2024-01-03,5,1,2
S0056,P118,W010,2024-02-21,2,3,2
S0057,P222,W037,2023-12-05,4,2,3
S0058,P005,W038,2024-07-15,3,2,2
S0059,P181,W056,2024-01-20,3,3,2
S0060,P176,W045,2024-01-13,2,3,2
S0061,P052,W024,2023-08-31,2,1,5
S0062,P246,W004,2024-07-30,3,3,4
S0063,P228,W009,2024-03-23,2,2,4
S0064,P010,W028,2023-07-15,5,3,1
S0065,P103,W042,2024-07-23,2,2,2
S0066,P017,W043,2023-08-03,4,2,2
S0067,P001,W012,2023-10-23,4,3,4
S0068,P174,W043,2023-08-03,2,3,2
S0069,P218,W009,2024-03-23,1,1,1
S0070,P063,W057,2023-12-28,4,3,4
S0071,P192,W005,2023-09-13,3,1,2
S0072,P169,W001,2023-09-04,3,4,2
