department_id,department_name,division,baseline_readiness_score,current_readiness_score,training_coverage_rate
D001,Criminal Justice,Social Science,0.48,0.67,0.63
D002,Economics,Social Science,0.4,0.47,0.73
D003,Geography,Social Science,0.37,0.55,0.74
D004,Political Science,Social Science,0.36,0.56,0.64
D005,Psychology,Social Science,0.64,0.72,0.49
D006,Sociology,Social Science,0.46,0.59,0.49
D007,Anthropology,Social Science,0.5,0.59,0.43
D008,Human Development & Family Studies,Social Science,0.45,0.55,0.59
D009,Social Work,Social Science,0.51,0.68,0.56
D010,History,Arts & Letters,0.56,0.62,0.38
D011,Communication,Communication Arts,0.56,0.64,0.48
D012,Public Policy,Public Affairs,0.59,0.71,0.51
