participant_id,role,department_id,workshops_attended,last_attended_date,adoption_level,ai_confidence_self_rating
P001,staff,D004,4,2023-11-03,developing,3
P002,faculty,D001,1,2024-04-16,developing,3
P003,staff,D005,1,2024-01-17,developing,3
P004,faculty,D006,5,2024-01-01,developing,2
P005,graduate student,D009,3,2024-04-16,early,2
P006,faculty,D006,2,2023-08-13,early,2
P007,graduate student,D008,5,2024-09-09,developing,4
P008,staff,D004,5,2024-08-27,early,2
P009,faculty,D003,4,2023-07-05,established,5
P010,graduate student,D003,2,2023-12-30,developing,3
P011,graduate student,D003,5,2024-07-28,developing,2
P012,staff,D010,4,2024-04-11,early,3
P013,faculty,D008,9,2024-01-10,developing,4
P014,graduate student,D004,1,2023-10-17,early,2
P015,faculty,D007,5,2023-12-24,developing,3
P016,graduate student,D008,1,2023-11-26,early,2
P017,faculty,D010,1,2023-11-20,early,2
P018,faculty,D009,6,2023-07-05,early,4
P019,graduate student,D001,4,2023-12-30,developing,3
P020,graduate student,D010,3,2023-08-12,established,4
P021,staff,D011,4,2023-08-12,early,4
P022,faculty,D006,4,2023-07-30,early,1
P023,staff,D012,4,2024-01-03,developing,4
P024,graduate student,D008,4,2024-08-13,established,3
P025,faculty,D007,6,2023-10-17,early,3
P026,graduate student,D008,4,2023-11-20,established,5
P027,staff,D006,2,2024-09-07,established,4
P028,graduate student,D007,1,2024-03-18,developing,4
P029,faculty,D001,2,2024-09-07,established,5
P030,faculty,D004,3,2023-10-22,established,4
P031,faculty,D005,5,2023-07-05,developing,3
P032,graduate student,D008,1,2023-11-20,developing,5
P033,graduate student,D011,5,2023-07-05,developing,4
P034,graduate student,D006,1,2024-04-07,developing,4
P035,faculty,D008,1,2023-08-25,established,4
P036,faculty,D006,1,2024-05-08,early,3
P037,graduate student,D008,2,2023-12-05,established,4
P038,faculty,D004,1,2023-10-13,developing,3
P039,staff,D005,2,2024-03-18,early,3
P040,staff,D004,2,2023-12-06,early,2
P041,staff,D001,1,2023-11-03,developing,3
P042,staff,D004,3,2024-03-27,developing,3
P043,faculty,D004,1,2023-08-24,established,5
P044,graduate student,D010,5,2024-01-03,early,1
P045,graduate student,D005,1,2024-02-11,established,4
P046,staff,D010,5,2023-10-17,early,3
P047,graduate student,D010,1,2024-01-01,established,4
P048,faculty,D009,3,2024-09-07,developing,3
P049,graduate student,D009,2,2024-07-05,established,4
