reflection_id,participant_id,workshop_id,date,reflection_text,sentiment,theme
R0001,P133,W045,2024-01-05,Great balance between demos and discussion.,positive,administrative processes
R0002,P180,W051,2024-03-26,Resources were actionable for my courses.,positive,ethical concerns
R0003,P111,W041,2024-03-29,Resources were actionable for my courses.,positive,classroom use
R0004,P079,W025,2024-09-23,Facilitators linked responsible AI to our policies effectively.,positive,research workflows
R0005,P190,W002,2024-02-25,Great balance between demos and discussion.,positive,ethical concerns
R0006,P182,W058,2023-10-19,Great balance between demos and discussion.,positive,assessment
R0007,P231,W040,2024-01-19,"Good overview, I need to explore tools further.",neutral,classroom use
R0008,P088,W006,2023-07-09,Practical examples made AI integration feel doable.,positive,research workflows
R0009,P146,W001,2023-08-27,Would like more tailored examples for our discipline.,neutral,classroom use
R0010,P259,W045,2024-01-05,Facilitators linked responsible AI to our policies effectively.,positive,classroom use
R0011,P176,W056,2024-01-12,Practical examples made AI integration feel doable.,positive,ethical concerns
R0012,P221,W036,2024-04-09,Workshop felt too introductory for our team.,negative,research workflows
R0013,P017,W011,2024-04-18,Would like more tailored examples for our discipline.,neutral,research workflows
R0014,P117,W056,2024-01-12,Would like more tailored examples for our discipline.,neutral,ethical concerns
R0015,P065,W010,2024-02-13,I left with clearer guardrails for student use of AI.,positive,assessment
R0016,P291,W050,2024-05-10,Facilitators linked responsible AI to our policies effectively.,positive,assessment
R0017,P310,W020,2023-10-19,Practical examples made AI integration feel doable.,positive,ethical concerns
R0018,P318,W041,2024-03-29,Some tools did not align with our campus licenses.,negative,ethical concerns
R0019,P259,W012,2023-10-15,"Good overview, I need to explore tools further.",neutral,assessment
R0020,P240,W026,2023-09-27,Great balance between demos and discussion.,positive,administrative processes
R0021,P176,W024,2023-08-23,Great balance between demos and discussion.,positive,classroom use
R0022,P181,W047,2023-10-24,Great balance between demos and discussion.,positive,ethical concerns
R0023,P023,W060,2024-09-09,I left with clearer guardrails for student use of AI.,positive,administrative processes
R0024,P111,W032,2024-01-17,Workshop felt too introductory for our team.,negative,research workflows
R0025,P061,W040,2024-01-19,Practical examples made AI integration feel doable.,positive,research workflows
R0026,P181,W003,2024-09-04,Great balance between demos and discussion.,positive,classroom use
R0027,P178,W047,2023-10-24,Slides were dense but the Q&A clarified things.,neutral,classroom use
R0028,P266,W009,2024-03-15,Facilitators linked responsible AI to our policies effectively.,positive,assessment
